t,I,O
0,16.1,8
4,81.144,8
8,121.233,8
12,151.018,8
16,173.6385,8
20,190.785,10
24,207.69,15
28,223.5485,20
32,241.178,25.4
36,256.7145,28.75189982
40,270.158,39.00883458
44,272.09,52.17079958
48,269.1115,65.75684409
52,255.346,80.86379181
56,240.695,94.34898996
60,225.561,106.170232
64,214.452,115.3201202
68,205.1945,122.7441407
72,199.7205,128.2018583
76,194.005,133.0246356
80,188.048,137.2403529
84,181.93,140.8555741
88,175.812,143.8618074
92,169.6135,146.3191664
96,163.4955,148.2205497
100,157.3775,149.6273689
104,151.34,150.5531883
108,145.383,151.0349589
112,139.587,151.0877097
116,133.952,150.7497583
120,128.3975,150.0763186
124,123.0845,149.055717
128,117.9325,147.7450976
132,112.9415,146.1734975
136,108.1115,144.3680153
140,103.4425,142.35394
144,98.9345,140.1548726
148,94.668,137.7733834
152,90.5625,135.2556177
156,86.618,132.6203482
160,82.915,129.8656394
164,79.2925,127.0528864
168,75.9115,124.1518921
172,72.611,121.2219687
176,69.4715,118.25043
180,66.5735,115.2302738
184,63.756,112.2181669
188,61.019,109.218409
192,58.5235,106.1961031
196,56.1085,103.2061754
200,53.8545,100.2318467
204,51.681,97.3012043
208,49.588,94.41616872
212,47.656,91.55907731
216,45.8045,88.75719337
220,44.114,85.9922133
224,42.4235,83.31025701
228,40.894,80.66687185
232,39.445,78.08861162
236,37.996,75.59542018
240,36.708,73.14270835
244,35.5005,70.75690251
248,34.293,68.4578276
252,33.2465,66.20078348
256,32.2,64.03154775
260,31.234,61.92480313
264,30.268,59.90066931
268,29.463,57.91472123
272,28.5775,56.03244801
276,27.853,54.18372635
280,27.1285,52.41489999
284,26.404,50.72063474
288,25.8405,49.05704298
292,25.1965,47.49011537
296,24.633,45.96965148
300,24.0695,44.51684108
304,23.5865,43.10771251
308,23.1035,41.76364127
312,22.701,40.46082903
316,22.2985,39.22081303
320,21.896,38.03940073
324,21.4935,36.91267945
328,21.1715,35.817543
332,20.8495,34.7761745
336,20.5275,33.78498416
340,20.286,32.82116706
344,20.0445,31.90718753
348,19.803,31.03971819
352,19.5615,30.2156538
356,19.32,29.43209644
360,19.0785,28.68634168
364,18.9175,27.95641086
368,18.7565,27.26553938
372,18.5955,26.61111946
376,18.4345,25.99071742
380,18.2735,25.40206209
384,18.1125,24.84303389
388,17.9515,24.3116548
392,17.871,23.78662403
396,17.7905,23.29180962
400,17.6295,22.844649
404,17.549,22.39821389
408,17.4685,21.97674774
412,17.388,21.57858351
416,17.3075,21.20216545
